,TotalNeeded
0,0
1,0
2,0
3,0
4,0
5,8
6,8
7,8
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,10
16,10
17,10
18,10
19,10
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,8
30,8
31,8
32,8
33,8
34,7
35,7
36,7
37,7
38,7
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,4
55,4
56,4
57,4
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,7
175,7
176,7
177,7
178,7
179,7
180,7
181,7
182,14
183,14
184,14
185,14
186,13
187,13
188,13
189,13
190,13
191,13
192,11
193,11
194,11
195,11
196,11
197,18
198,18
199,18
200,18
201,18
202,18
203,18
204,17
205,16
206,16
207,16
208,16
209,15
210,14
211,17
212,17
213,17
214,23
215,23
216,22
217,22
218,19
219,19
220,19
221,19
222,19
223,19
224,19
225,18
226,18
227,17
228,17
229,17
230,23
231,23
232,22
233,21
234,21
235,21
236,21
237,21
238,20
239,20
240,19
241,19
242,17
243,23
244,23
245,23
246,23
247,23
248,23
249,22
250,21
251,21
252,18
253,19
254,18
255,18
256,23
257,23
258,23
259,23
260,23
261,21
262,19
263,19
264,19
265,19
266,19
267,18
268,18
269,17
270,17
271,17
272,17
273,17
274,17
275,16
276,14
277,14
278,14
279,13
280,13
281,13
282,12
283,12
284,12
285,12
286,11
287,11
288,11
289,11
290,11
291,11
292,11
293,11
294,11
295,11
296,11
297,11
298,11
299,11
300,11
301,11
302,11
303,11
304,11
305,11
306,11
307,11
308,11
309,11
310,11
311,11
312,10
313,10
314,10
315,10
316,10
317,10
318,10
319,9
320,9
321,9
322,9
323,8
324,8
325,8
326,8
327,16
328,15
329,15
330,15
331,15
332,15
333,13
334,12
335,12
336,12
337,12
338,12
339,12
340,10
341,10
342,10
343,9
344,9
345,9
346,16
347,16
348,16
349,16
350,16
351,15
352,15
353,14
354,14
355,14
356,14
357,21
358,21
359,21
360,21
361,21
362,20
363,20
364,19
365,19
366,19
367,19
368,19
369,19
370,18
371,18
372,18
373,18
374,18
375,18
376,18
377,17
378,16
379,16
380,16
381,15
382,15
383,15
384,15
385,14
386,13
387,13
388,13
389,13
390,13
391,13
392,13
393,13
394,13
395,13
396,12
397,11
398,10
399,9
400,9
401,9
402,9
403,9
404,9
405,9
406,9
407,9
408,8
409,8
410,7
411,7
412,7
413,7
414,7
415,7
416,7
417,6
418,6
419,6
420,7
421,7
422,7
423,6
424,6
425,6
426,6
427,6
428,6
429,6
430,6
431,6
432,6
433,6
434,6
435,6
436,6
437,6
438,6
439,6
440,5
441,5
442,5
443,5
444,5
445,5
446,5
447,5
448,5
449,5
450,5
451,5
452,5
453,4
454,4
455,4
456,4
457,3
458,3
459,3
460,3
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,9
509,9
510,9
511,9
512,9
513,8
514,8
515,8
516,8
517,8
518,8
519,8
520,8
521,7
522,6
523,6
524,6
525,6
526,6
527,6
528,6
529,6
530,6
531,5
