time_total, time_walking
132, 88
130, 60
225, 156
215, 134
219, 183
201, 120
155, 97
199, 102
173, 82
207, 123
193, 115
166, 110
176, 120
83, 54
123, 68
208, 120
187, 150
178, 92
141, 69
200, 119
297, 223
65, 44
161, 126
125, 68
67, 41
70, 45
88, 51
175, 105
97, 51
249, 178
219, 132
186, 133
152, 98
191, 112
144, 65
260, 174
105, 53
190, 105
165, 125
98, 64
174, 97
197, 108
289, 237
157, 120
67, 54
142, 90
79, 46
98, 53
110, 57
219, 148
122, 101
146, 52
115, 63
131, 52
215, 182
186, 107
192, 115
158, 71
205, 130
72, 42
134, 89
120, 86
222, 178
98, 32
98, 59
112, 59
105, 62
168, 114
205, 139
187, 125
160, 99
221, 146
115, 91
113, 61
420, 345
78, 49
199, 125
257, 193
160, 120
82, 58
179, 95
222, 162
136, 71
126, 102
125, 84
209, 131
74, 37
156, 108
85, 41
157, 94
187, 116
345, 288
235, 185
122, 80
67, 52
197, 124
239, 151
362, 295
134, 101
63, 41
184, 136
177, 144
111, 84
92, 47
218, 138
191, 121
87, 56
171, 133
141, 104
206, 116
228, 143
208, 134
185, 126
169, 99
180, 123
92, 67
84, 68
257, 164
179, 107
120, 58
166, 123
182, 110
200, 137
191, 140
258, 203
79, 48
90, 59
184, 145
178, 104
173, 119
200, 133
183, 130
195, 123
126, 47
199, 180
211, 108
147, 94
91, 53
171, 145
124, 55
227, 138
263, 189
153, 107
138, 78
188, 122
178, 97
62, 24
221, 128
90, 58
171, 104
130, 78
207, 139
104, 66
97, 54
174, 88
248, 209
127, 65
204, 139
204, 172
167, 122
72, 45
54, 42
239, 186
104, 62
219, 152
83, 56
163, 73
99, 64
174, 97
86, 72
176, 113
195, 131
142, 80
71, 41
166, 115
348, 264
226, 130
113, 89
194, 109
191, 124
195, 161
137, 95
250, 151
99, 47
165, 96
150, 108
121, 66
68, 39
61, 33
58, 42
120, 60
77, 63
85, 50
159, 108
60, 43
163, 111
147, 74
224, 186
127, 91
269, 205
90, 55
198, 132
193, 161
204, 128
196, 118
152, 103
203, 160
61, 31
127, 69
217, 134
84, 59
110, 43
139, 103
123, 72
70, 44
248, 173
137, 114
202, 144
112, 61
239, 195
72, 33
188, 112
58, 29
64, 42
83, 46
78, 48
155, 95
119, 60
141, 109
91, 31
139, 89
163, 106
82, 60
216, 153
95, 52
113, 55
161, 114
219, 192
164, 90
97, 69
184, 131
261, 192
177, 98
126, 61
120, 61
180, 128
174, 95
90, 46
145, 115
201, 119
158, 121
69, 48
94, 54
64, 35
182, 113
240, 141
184, 128
176, 102
300, 223
154, 113
103, 54
212, 133
95, 63
195, 158
120, 66
129, 115
168, 108
190, 98
220, 195
51, 25
172, 85
152, 107
154, 107
126, 90
112, 43
214, 147
302, 237
182, 129
120, 75
332, 243
275, 193
230, 157
69, 58
162, 115
151, 88
222, 135
144, 116
88, 58
182, 115
187, 128
162, 109
176, 101
201, 132
120, 52
61, 50
230, 182
179, 119
238, 188
113, 54
205, 163
234, 169
197, 109
234, 136
125, 79
197, 125
183, 107
174, 117
240, 168
194, 113
147, 117
131, 107
233, 175
192, 109
57, 42
153, 107
214, 141
93, 54
209, 132
109, 54
254, 176
147, 88
195, 160
131, 61
224, 154
259, 148
90, 56
74, 54
139, 105
247, 187
219, 145
322, 263
84, 59
160, 109
276, 195
158, 110
178, 107
201, 118
307, 264
160, 97
150, 104
147, 84
261, 173
79, 43
230, 149
198, 158
149, 60
117, 57
63, 53
162, 97
85, 49
106, 62
168, 98
162, 70
178, 94
114, 82
64, 38
128, 62
226, 136
167, 115
188, 116
192, 98
134, 77
192, 127
125, 69
106, 57
151, 108
176, 128
235, 146
149, 101
82, 59
103, 63
282, 195
287, 229
157, 90
155, 103
72, 44
314, 251
231, 160
166, 117
208, 119
207, 134
204, 144
122, 54
94, 42
186, 116
79, 28
236, 146
83, 55
270, 195
178, 111
41, 24
174, 117
222, 134
84, 50
141, 69
96, 55
82, 44
163, 110
54, 38
158, 83
167, 115
193, 134
78, 65
122, 90
54, 42
99, 66
190, 111
194, 109
195, 143
205, 143
76, 58
187, 148
186, 159
174, 80
166, 128
77, 32
125, 89
164, 94
156, 99
185, 134
172, 120
273, 188
88, 69
61, 31
80, 55
158, 125
248, 168
70, 50
187, 122
190, 84
156, 102
134, 127
146, 68
145, 61
265, 214
71, 45
201, 122
167, 131
212, 131
199, 128
194, 123
150, 110
71, 46
146, 50
76, 27
170, 132
119, 60
218, 125
143, 68
366, 269
296, 221
133, 59
70, 40
121, 68
169, 86
232, 155
102, 77
40, 27
214, 136
303, 211
193, 107
88, 51
116, 62
179, 140
108, 77
167, 112
76, 48
189, 130
64, 45
180, 105
214, 164
102, 68
168, 108
159, 113
183, 114
173, 104
174, 121
53, 35
162, 131
183, 135
228, 125
199, 127
70, 25
66, 30
138, 79
252, 155
188, 134
103, 65
216, 139
174, 106
160, 99
83, 50
140, 88
103, 78
195, 105
170, 126
102, 56
74, 48
82, 37
166, 132
