time_total, time_walking
185, 124
138, 103
111, 74
110, 71
208, 178
108, 85
209, 130
102, 62
128, 103
119, 66
233, 197
192, 104
128, 101
138, 90
186, 127
245, 171
192, 130
119, 84
95, 49
203, 125
94, 58
46, 23
106, 60
305, 226
94, 31
143, 108
78, 44
180, 120
172, 118
142, 81
191, 124
214, 124
175, 119
279, 213
157, 120
219, 170
186, 139
210, 135
109, 50
71, 52
113, 72
216, 123
138, 69
185, 124
193, 95
195, 140
325, 258
191, 121
106, 60
92, 49
149, 114
195, 96
172, 145
117, 94
88, 50
75, 57
60, 42
48, 25
114, 96
92, 64
180, 126
220, 160
169, 76
90, 45
195, 126
122, 96
72, 40
147, 79
187, 121
178, 124
205, 139
104, 55
129, 87
206, 110
188, 112
206, 138
153, 75
199, 136
192, 128
187, 104
103, 76
106, 76
276, 218
133, 100
216, 165
238, 161
214, 131
142, 103
141, 111
200, 117
193, 111
184, 126
170, 128
136, 110
178, 123
104, 66
205, 121
140, 117
171, 103
120, 74
121, 69
215, 120
110, 75
217, 152
115, 49
225, 139
107, 49
110, 65
213, 119
152, 101
81, 50
172, 105
224, 159
104, 68
172, 103
200, 129
244, 165
258, 181
276, 184
179, 127
185, 108
196, 129
171, 119
129, 112
154, 143
285, 202
207, 113
123, 52
180, 95
219, 149
131, 111
169, 78
209, 120
177, 119
188, 91
103, 61
241, 154
161, 117
79, 46
176, 115
98, 75
264, 205
158, 117
108, 59
84, 49
137, 92
165, 95
215, 123
77, 49
254, 210
136, 114
127, 78
152, 132
70, 43
137, 82
65, 52
82, 52
104, 59
152, 96
278, 214
177, 107
249, 161
125, 90
191, 134
100, 60
78, 52
176, 136
60, 29
164, 124
169, 88
184, 126
115, 79
185, 123
175, 131
143, 73
120, 86
94, 65
171, 98
200, 145
68, 46
170, 113
192, 124
222, 156
183, 95
86, 55
221, 129
181, 102
118, 93
83, 48
133, 95
137, 75
200, 125
53, 31
226, 124
63, 53
237, 160
224, 175
146, 107
119, 72
172, 138
172, 135
227, 176
202, 139
158, 95
180, 109
264, 218
175, 97
136, 84
77, 47
164, 105
76, 51
90, 53
146, 121
171, 83
81, 41
186, 110
94, 66
198, 140
202, 146
74, 41
208, 131
72, 49
169, 126
96, 70
248, 180
185, 117
266, 181
237, 136
135, 86
173, 102
228, 143
248, 201
137, 94
95, 50
209, 144
56, 42
160, 102
62, 46
274, 233
146, 86
182, 118
209, 134
140, 65
162, 89
182, 115
203, 121
197, 133
67, 44
65, 44
158, 112
207, 156
147, 84
259, 195
432, 364
162, 114
188, 170
181, 115
190, 139
256, 155
229, 156
94, 68
168, 103
165, 109
181, 128
83, 46
144, 115
184, 109
227, 183
300, 218
73, 47
86, 58
121, 65
98, 71
173, 126
172, 125
192, 95
172, 88
178, 104
79, 47
181, 144
70, 39
138, 112
139, 91
119, 60
199, 119
287, 255
229, 140
184, 157
78, 50
247, 173
84, 52
170, 93
112, 75
67, 26
154, 104
208, 129
98, 59
202, 145
297, 205
206, 147
81, 58
185, 109
265, 211
164, 105
185, 141
81, 65
186, 98
196, 112
93, 46
304, 236
111, 86
108, 58
237, 141
130, 102
212, 135
225, 136
147, 91
270, 208
201, 165
115, 61
247, 152
191, 109
187, 115
133, 60
190, 153
81, 74
222, 130
148, 59
49, 31
181, 134
201, 130
189, 148
75, 40
61, 51
40, 22
438, 390
92, 69
79, 71
192, 167
187, 145
146, 107
257, 188
147, 111
202, 116
143, 124
189, 90
92, 42
184, 117
172, 121
104, 81
113, 53
328, 280
251, 179
117, 106
207, 143
135, 79
189, 106
230, 137
103, 75
126, 72
121, 88
122, 81
193, 121
143, 113
96, 63
102, 60
179, 126
97, 70
219, 197
144, 102
253, 189
122, 60
264, 218
183, 124
196, 122
194, 145
39, 27
170, 102
189, 134
60, 40
391, 302
392, 314
66, 48
67, 45
201, 116
227, 149
84, 73
250, 167
209, 142
234, 169
296, 208
125, 85
129, 101
146, 101
155, 125
199, 120
76, 47
216, 135
208, 127
280, 260
231, 147
156, 95
127, 67
160, 117
243, 204
208, 127
101, 70
159, 122
97, 64
191, 144
177, 118
192, 98
62, 30
143, 110
136, 102
174, 131
183, 125
189, 113
71, 49
283, 196
144, 78
262, 188
69, 55
205, 126
163, 116
201, 139
91, 39
307, 251
162, 96
212, 139
185, 118
70, 44
96, 50
94, 57
202, 129
76, 41
212, 140
241, 202
172, 112
241, 159
173, 137
171, 152
178, 105
219, 121
169, 93
183, 126
103, 82
142, 99
127, 69
62, 41
191, 168
224, 149
143, 63
134, 108
158, 106
269, 208
164, 117
141, 60
181, 148
269, 178
199, 117
213, 138
230, 163
239, 152
238, 155
168, 86
127, 90
265, 196
205, 145
197, 134
227, 133
236, 190
171, 104
93, 70
184, 92
137, 76
185, 144
142, 97
215, 130
85, 44
156, 102
184, 133
129, 74
110, 83
255, 171
186, 132
117, 61
164, 87
197, 172
166, 115
65, 31
197, 123
255, 171
202, 143
82, 44
209, 127
343, 259
77, 43
