,TotalNeeded
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,1
111,1
112,1
113,1
114,8
115,8
116,8
117,8
118,8
119,8
120,7
121,7
122,7
123,7
124,7
125,6
126,6
127,6
128,6
129,6
130,6
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
159,4
160,3
161,3
162,3
163,3
164,3
165,2
166,2
167,2
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,8
265,8
266,8
267,8
268,8
269,8
270,7
271,7
272,7
273,7
274,7
275,7
276,7
277,7
278,7
279,7
280,7
281,7
282,7
283,7
284,7
285,7
286,7
287,7
288,7
289,7
290,7
291,7
292,7
293,7
294,7
295,7
296,6
297,6
298,6
299,6
300,6
301,6
302,6
303,6
304,5
305,5
306,5
307,5
308,5
309,4
310,4
311,4
312,4
313,4
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,8
330,8
331,8
332,8
333,8
334,8
335,8
336,8
337,8
338,8
339,8
340,8
341,8
342,8
343,8
344,8
345,8
346,8
347,8
348,8
349,8
350,8
351,7
352,7
353,7
354,7
355,7
356,7
357,7
358,7
359,6
360,6
361,11
362,11
363,11
364,11
365,11
366,11
367,11
368,11
369,11
370,11
371,11
372,11
373,11
374,11
375,11
376,11
377,10
378,10
379,10
380,10
381,10
382,9
383,8
384,8
385,8
386,8
387,8
388,8
389,8
390,8
391,7
392,6
393,6
394,6
395,6
396,13
397,13
398,12
399,12
400,12
401,11
402,11
403,11
404,11
405,11
406,11
407,11
408,11
409,11
410,11
411,11
412,10
413,10
414,9
415,9
416,9
417,16
418,16
419,16
420,16
421,16
422,15
423,15
424,15
425,15
426,14
427,14
428,14
429,14
430,14
431,14
432,14
433,14
434,14
435,14
436,14
437,14
438,14
439,14
440,13
441,13
442,13
443,13
444,13
445,13
446,13
447,13
448,13
449,15
450,15
451,15
452,15
453,15
454,15
455,15
456,14
457,14
458,14
459,14
460,14
461,14
462,14
463,13
464,12
465,12
466,12
467,12
468,12
469,12
470,11
471,11
472,10
473,11
474,11
475,11
476,11
477,10
478,9
479,9
480,9
481,9
482,9
483,9
484,9
485,9
486,9
487,8
488,7
489,7
490,7
491,7
492,6
493,6
494,6
495,6
496,6
497,6
498,6
499,6
500,6
501,6
502,6
503,6
504,6
505,6
506,6
507,6
508,6
509,5
510,5
511,5
512,5
513,5
514,5
515,5
516,4
517,4
518,4
519,4
520,4
521,4
522,4
523,3
524,3
525,2
526,2
527,2
528,2
529,2
530,2
531,1
