time_total, time_walking
156, 132
185, 127
119, 99
189, 157
165, 128
100, 54
187, 127
108, 79
214, 178
188, 95
142, 104
223, 172
474, 416
233, 183
285, 237
184, 114
200, 125
65, 41
180, 111
178, 145
63, 31
108, 45
178, 96
182, 109
138, 111
145, 74
121, 91
61, 24
51, 25
147, 98
114, 85
139, 79
214, 115
149, 104
256, 200
170, 112
250, 189
167, 131
253, 232
151, 92
198, 125
159, 81
164, 114
147, 88
206, 123
114, 77
249, 214
162, 120
165, 122
212, 128
179, 91
137, 96
254, 174
223, 162
174, 105
197, 138
166, 96
416, 325
223, 144
92, 56
208, 140
214, 161
204, 176
154, 103
205, 142
191, 163
45, 24
136, 96
251, 165
203, 127
96, 74
137, 62
84, 37
204, 134
129, 80
196, 113
85, 58
229, 130
179, 114
447, 383
168, 157
85, 57
244, 188
173, 91
234, 149
106, 93
181, 104
198, 163
263, 179
126, 106
175, 118
97, 26
198, 138
115, 89
173, 117
199, 117
167, 117
189, 115
209, 165
194, 126
176, 116
137, 69
202, 130
193, 118
190, 131
171, 116
152, 99
187, 114
186, 149
234, 168
252, 173
144, 90
252, 165
299, 204
223, 161
242, 141
182, 147
236, 162
141, 80
414, 359
161, 115
248, 203
140, 92
209, 149
199, 182
55, 22
171, 130
177, 124
471, 393
62, 39
46, 21
49, 30
149, 117
171, 94
272, 214
261, 180
318, 220
83, 61
200, 150
128, 87
128, 77
158, 124
215, 147
179, 134
372, 338
180, 128
160, 95
167, 122
255, 168
116, 87
169, 94
70, 43
51, 24
154, 91
209, 158
236, 167
144, 97
101, 57
476, 438
80, 50
255, 159
129, 97
216, 165
169, 125
173, 112
184, 142
101, 63
167, 121
88, 60
55, 36
187, 127
99, 78
261, 170
258, 219
502, 416
156, 113
189, 101
119, 82
263, 172
135, 101
356, 287
119, 79
113, 81
165, 107
180, 125
131, 84
225, 139
279, 228
54, 31
203, 156
97, 81
172, 137
190, 137
233, 150
449, 378
135, 101
193, 115
308, 225
223, 153
208, 132
275, 221
100, 56
109, 60
183, 118
167, 100
139, 100
272, 198
230, 147
167, 154
211, 143
135, 114
196, 103
38, 21
411, 310
69, 34
219, 143
249, 179
46, 23
143, 60
123, 107
170, 119
228, 150
39, 25
130, 83
234, 159
86, 52
223, 160
178, 132
206, 128
190, 114
179, 140
83, 54
241, 146
271, 199
169, 102
82, 43
113, 65
62, 33
229, 162
190, 126
41, 27
239, 158
32, 19
155, 90
124, 73
99, 60
241, 164
137, 98
128, 51
263, 180
218, 128
118, 52
239, 183
433, 390
209, 150
135, 113
212, 165
155, 89
73, 49
266, 183
185, 107
160, 95
115, 86
85, 58
221, 151
162, 110
162, 92
203, 141
167, 94
211, 123
155, 123
188, 128
89, 54
272, 195
239, 131
375, 333
227, 137
220, 160
248, 167
103, 54
263, 174
231, 159
115, 68
140, 91
156, 80
127, 82
215, 115
157, 104
110, 60
107, 75
172, 124
194, 129
128, 79
220, 148
159, 90
228, 146
352, 257
162, 111
156, 113
196, 162
72, 56
121, 90
189, 113
379, 332
166, 106
287, 254
177, 144
78, 42
256, 183
145, 120
144, 87
58, 27
182, 109
100, 57
178, 136
215, 169
135, 94
324, 268
170, 111
152, 96
119, 87
216, 137
216, 124
171, 133
357, 274
176, 127
193, 121
145, 99
72, 48
88, 72
160, 112
68, 53
127, 82
228, 149
161, 104
131, 86
246, 201
42, 25
218, 147
285, 218
143, 102
270, 185
218, 175
151, 121
238, 173
270, 202
263, 189
194, 109
72, 50
127, 60
130, 109
121, 94
189, 116
142, 84
144, 73
149, 102
174, 122
189, 116
135, 71
218, 129
67, 26
226, 152
157, 112
52, 23
186, 118
156, 105
176, 128
308, 265
161, 115
54, 35
323, 284
345, 261
158, 126
150, 95
446, 347
178, 114
88, 50
244, 177
240, 174
133, 94
89, 58
223, 152
169, 115
232, 194
162, 77
220, 128
224, 120
95, 66
160, 109
119, 59
148, 71
101, 68
156, 94
208, 142
205, 152
220, 132
140, 63
148, 101
123, 110
150, 102
140, 98
158, 116
216, 123
104, 50
167, 92
161, 114
150, 116
212, 169
67, 34
232, 145
172, 80
171, 113
260, 221
188, 117
137, 91
256, 203
126, 91
197, 131
182, 137
173, 107
131, 90
121, 93
164, 116
213, 160
46, 29
189, 114
131, 72
185, 101
168, 126
221, 138
206, 135
86, 58
166, 118
497, 460
179, 145
232, 159
218, 151
205, 131
76, 27
558, 493
220, 191
119, 102
132, 81
360, 296
157, 93
536, 462
76, 36
115, 80
301, 202
199, 134
104, 52
303, 219
170, 89
46, 23
168, 115
183, 141
168, 101
132, 99
255, 214
259, 188
245, 167
142, 103
156, 115
241, 163
173, 102
121, 72
81, 58
238, 160
92, 46
214, 129
134, 113
167, 105
248, 157
198, 159
81, 52
210, 159
126, 66
172, 107
63, 36
361, 294
206, 122
222, 163
180, 132
108, 36
54, 24
202, 144
166, 130
173, 100
232, 185
201, 121
183, 112
209, 121
247, 176
165, 76
159, 89
309, 243
173, 68
130, 90
