,TotalNeeded
0,0
1,0
2,0
3,0
4,0
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,7
21,7
22,7
23,7
24,7
25,7
26,7
27,7
28,9
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,9
38,9
39,9
40,9
41,8
42,8
43,8
44,8
45,8
46,8
47,8
48,8
49,8
50,8
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,7
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,3
101,3
102,3
103,3
104,3
105,3
106,2
107,10
108,10
109,9
110,9
111,9
112,9
113,9
114,9
115,9
116,9
117,9
118,8
119,8
120,8
121,8
122,7
123,7
124,7
125,7
126,7
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,5
151,5
152,5
153,5
154,5
155,5
156,5
157,13
158,13
159,13
160,13
161,13
162,13
163,13
164,13
165,12
166,12
167,12
168,12
169,12
170,12
171,12
172,12
173,11
174,11
175,10
176,10
177,10
178,10
179,10
180,10
181,10
182,10
183,9
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,9
192,9
193,9
194,9
195,9
196,9
197,9
198,9
199,9
200,9
201,9
202,9
203,9
204,9
205,9
206,9
207,9
208,9
209,9
210,9
211,9
212,9
213,9
214,9
215,9
216,9
217,9
218,9
219,9
220,9
221,8
222,8
223,8
224,8
225,7
226,7
227,7
228,7
229,7
230,7
231,7
232,7
233,7
234,6
235,6
236,6
237,5
238,5
239,5
240,4
241,4
242,4
243,4
244,4
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,8
360,8
361,8
362,8
363,8
364,7
365,7
366,7
367,7
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,7
376,7
377,7
378,6
379,6
380,6
381,6
382,8
383,8
384,8
385,8
386,8
387,8
388,7
389,7
390,7
391,6
392,6
393,6
394,5
395,5
396,5
397,5
398,5
399,5
400,5
401,5
402,5
403,5
404,5
405,5
406,12
407,12
408,11
409,11
410,11
411,11
412,10
413,10
414,10
415,10
416,10
417,9
418,9
419,9
420,9
421,8
422,8
423,8
424,8
425,8
426,8
427,8
428,8
429,8
430,8
431,8
432,8
433,8
434,8
435,8
436,8
437,8
438,8
439,8
440,8
441,8
442,8
443,8
444,8
445,8
446,8
447,8
448,8
449,8
450,8
451,7
452,7
453,7
454,7
455,7
456,7
457,7
458,7
459,7
460,7
461,7
462,7
463,7
464,7
465,7
466,7
467,6
468,6
469,8
470,8
471,8
472,8
473,8
474,8
475,7
476,7
477,7
478,7
479,7
480,7
481,6
482,6
483,6
484,6
485,6
486,6
487,6
488,6
489,6
490,6
491,6
492,6
493,6
494,6
495,6
496,6
497,5
498,5
499,5
500,5
501,5
502,5
503,5
504,5
505,5
506,5
507,5
508,5
509,13
510,13
511,13
512,13
513,13
514,13
515,13
516,11
517,11
518,11
519,11
520,11
521,11
522,11
523,11
524,11
525,10
526,10
527,9
528,9
529,9
530,9
531,9
